I0,I1,I2,I3
-0.433468,-0.409435,-13.881439,-17.404442
-0.433133,-0.409087,-13.822845,-17.364159
-0.432799,-0.408739,-14.796982,-17.441063
-0.432465,-0.408564,-14.203705,-17.463036
-0.431963,-0.408041,-14.668808,-17.671776
-0.431795,-0.407867,-14.544296,-17.917145
-0.431293,-0.407517,-14.002289,-17.895172
-0.430957,-0.407168,-14.123138,-17.386131
-0.430622,-0.406818,-13.896088,-16.822159
-0.430286,-0.406468,-14.577255,-17.301903
-0.429951,-0.406118,-14.690781,-17.664452
-0.429614,-0.405768,-14.427094,-17.290916
-0.42911,-0.405418,-15.342636,-17.75235
-0.428773,-0.405242,-15.056992,-18.037994
-0.428437,-0.404892,-15.086288,-17.777985
-0.4281,-0.40454,-14.925156,-17.704735
-0.427594,-0.404189,-14.489349,-17.430077
-0.427257,-0.404014,-14.840927,-17.371483
-0.426919,-0.403662,-14.687119,-17.847565
-0.426581,-0.40331,-14.335541,-17.785309
-0.426243,-0.402958,-14.463715,-18.173492
-0.425736,-0.402606,-14.939804,-18.166168
-0.425567,-0.402429,-14.665146,-18.008698
-0.425059,-0.402077,-15.159531,-18.506752
-0.42472,-0.401724,-14.939804,-18.052643
-0.424551,-0.401371,-14.55162,-18.323647
-0.424042,-0.401017,-14.800644,-18.235748
-0.423702,-0.400664,-15.111923,-18.2211
-0.423532,-0.400487,-14.822617,-18.38224
-0.423193,-0.40031,-15.243759,-18.492104
-0.422853,-0.399956,-14.731064,-17.708397
-0.422512,-0.399602,-15.078964,-18.455482
-0.422001,-0.399248,-15.368271,-17.983063
-0.421661,-0.398893,-14.943466,-18.909592
-0.421491,-0.398715,-15.48912,-18.177155
-0.42115,-0.398361,-15.906616,-18.645912
-0.420809,-0.398005,-15.807739,-18.415199
-0.420467,-0.397828,-15.12291,-18.664223
-0.420126,-0.397472,-15.317001,-18.232086
-0.419784,-0.397294,-15.869995,-17.668114
-0.419442,-0.396938,-15.683228,-17.690086
-0.4191,-0.396761,-16.298462,-18.631264
-0.418929,-0.396404,-15.639282,-18.272377
-0.418415,-0.396226,-15.668579,-18.166168
-0.418243,-0.39587,-16.206909,-18.722816
-0.417901,-0.395691,-15.562378,-17.983063
-0.417557,-0.395334,-16.122681,-18.048981
-0.417214,-0.395156,-16.056763,-18.689857
-0.416871,-0.394977,-15.544067,-18.356606
-0.416699,-0.39462,-15.584351,-18.57267
-0.416355,-0.394441,-16.397339,-18.825363
-0.416011,-0.394262,-16.005493,-18.43351
-0.415839,-0.393904,-16.569473,-19.100021
-0.415322,-0.393725,-15.745483,-18.99382
-0.41515,-0.393367,-16.221558,-18.719154
-0.414805,-0.393009,-16.470581,-19.642021
-0.414461,-0.392829,-16.195923,-19.330742
-0.414115,-0.39247,-16.056763,-19.004807
-0.413943,-0.392291,-16.016479,-19.403984
-0.413597,-0.391932,-15.994507,-19.338066
-0.413424,-0.391752,-15.75647,-18.982834
-0.413079,-0.391393,-16.232544,-19.620049
-0.405768,-0.384335,-17.525299,-20.022888
-0.405417,-0.384153,-17.129776,-20.129089
-0.405242,-0.383788,-17.342178,-19.847107
-0.404892,-0.383606,-16.964981,-19.715263
-0.40454,-0.383423,-17.001602,-19.880066
-0.404365,-0.383241,-17.060196,-19.986267
-0.404013,-0.382875,-17.411758,-20.235291
-0.403662,-0.382693,-17.463028,-19.894714
-0.403486,-0.38251,-17.470352,-19.561455
-0.40331,-0.382144,-17.39711,-19.733574
-0.402958,-0.381961,-18.027008,-21.150833
-0.402782,-0.381779,-17.170059,-20.143738
-0.402429,-0.381412,-16.946671,-20.202332
-0.402077,-0.381229,-17.70108,-19.784851
-0.4019,-0.381046,-17.748688,-19.975281
-0.401724,-0.380679,-16.972305,-20.205994
-0.401371,-0.380496,-17.532623,-20.506294
-0.401195,-0.380312,-17.309219,-20.85054
-0.400841,-0.379945,-17.140762,-20.623482
-0.400664,-0.379761,-17.657135,-20.876175
-0.40031,-0.379578,-17.488663,-20.722359
-0.400134,-0.379394,-17.690094,-20.740669
-0.39978,-0.37921,-18.133209,-20.590523
-0.399602,-0.379026,-18.261383,-20.143738
-0.399425,-0.378842,-18.327301,-20.56855
-0.399071,-0.378474,-17.56192,-20.854202
-0.398893,-0.37829,-17.565582,-21.634239
-0.398539,-0.377921,-17.854889,-20.964066
-0.398361,-0.377737,-18.210114,-20.227966
-0.398006,-0.377552,-18.287018,-21.315636
-0.397828,-0.377183,-17.858551,-20.623482
-0.397472,-0.376999,-17.609528,-21.099564
-0.397472,-0.376814,-17.851227,-21.550011
-0.397117,-0.376444,-17.517975,-21.300987
-0.396939,-0.37626,-18.019684,-21.062943
-0.396583,-0.376074,-17.697418,-21.136185
-0.396405,-0.375889,-18.056305,-21.154495
-0.396048,-0.375519,-18.254059,-20.590523
-0.39587,-0.375334,-17.895172,-21.084915
-0.395691,-0.374963,-18.2211,-21.191116
-0.395513,-0.374778,-18.770432,-20.795609
-0.395156,-0.374592,-18.352936,-21.264366
-0.394977,-0.374407,-18.569016,-20.791946
-0.39462,-0.374036,-17.906158,-21.275352
-0.394441,-0.37385,-17.825592,-21.275352
